1
14
1 356 21.1 		FFA-W3-211
-8.0000000	-0.7055490	0.0144910	-0.0290630
-7.0000000	-0.5731590	0.0141640	-0.0390720
-6.0000000	-0.4403220	0.0138550	-0.0490810
-5.0000000	-0.3074850	0.0135460	-0.0590910
-4.0000000	-0.1531000	0.0079700	-0.0691000
-3.0000000	-0.0282000	0.0076300	-0.0720000
-2.0000000	0.0967000	0.0073300	-0.0748000
-1.0000000	0.2315000	0.0052200	-0.0815000
0.0000000	0.3567000	0.0050000	-0.0842000
1.0000000	0.4792000	0.0053300	-0.0863000
2.0000000	0.5879000	0.0080800	-0.0871000
4.0000000	0.8258000	0.0090900	-0.0901000
8.0000000	1.2784000	0.0123700	-0.0932000
9.0000000	1.3802000	0.0137900	-0.0925000
11.0000000	1.5084000	0.0198400	-0.0829000
12.0000000	0.5292860	0.0730560	-0.0882380
13.0000000	0.5040720	0.0872100	-0.0935750
14.0000000	0.5090790	0.1012830	-0.0989130
15.0000000	0.5261480	0.1158180	-0.1042500
16.0000000	0.5485290	0.1310240	-0.1095880
17.0000000	0.5734150	0.1469820	-0.1149250
18.0000000	0.5995090	0.1637220	-0.1202630
19.0000000	0.6261510	0.1812510	-0.1256000
20.0000000	0.6529730	0.1995610	-0.1309380
21.0000000	0.6797500	0.2186400	-0.1362750
22.0000000	0.7063360	0.2384690	-0.1416130
23.0000000	0.7326240	0.2590290	-0.1469500
24.0000000	0.7585310	0.2802970	-0.1522880
25.0000000	0.7839900	0.3022490	-0.1576250
26.0000000	0.8089430	0.3248610	-0.1629630
27.0000000	0.8333380	0.3481050	-0.1698740
28.0000000	0.8571250	0.3719550	-0.1768240
29.0000000	0.8802600	0.3963820	-0.1838040
30.0000000	0.9026980	0.4213580	-0.1908080
31.0000000	0.9244000	0.4468510	-0.1978260
32.0000000	0.9453230	0.4728320	-0.2048500
33.0000000	0.9654300	0.4992700	-0.2118740
34.0000000	0.9846830	0.5261320	-0.2188870
35.0000000	1.0030450	0.5533870	-0.2258830
36.0000000	1.0204810	0.5810010	-0.2328540
37.0000000	1.0369560	0.6089400	-0.2397910
38.0000000	1.0524380	0.6371720	-0.2466860
39.0000000	1.0668930	0.6656600	-0.2535330
40.0000000	1.0802920	0.6943720	-0.2603220
41.0000000	1.0926050	0.7232720	-0.2670470
42.0000000	1.1038030	0.7523240	-0.2737010
43.0000000	1.1138590	0.7814940	-0.2802750
44.0000000	1.1227490	0.8107450	-0.2867630
45.0000000	1.1304470	0.8400420	-0.2931580
46.0000000	1.1369310	0.8693490	-0.2994540
47.0000000	1.1421800	0.8986310	-0.3056440
48.0000000	1.1461750	0.9278500	-0.3117220
49.0000000	1.1488970	0.9569720	-0.3176830
50.0000000	1.1503310	0.9859610	-0.3235210
51.0000000	1.1504620	1.0147810	-0.3292310
52.0000000	1.1492770	1.0433960	-0.3348100
53.0000000	1.1467650	1.0717720	-0.3402520
54.0000000	1.1429180	1.0998730	-0.3455530
55.0000000	1.1377280	1.1276660	-0.3507110
56.0000000	1.1311890	1.1551150	-0.3557230
57.0000000	1.1232990	1.1821870	-0.3605860
58.0000000	1.1140560	1.2088490	-0.3652970
59.0000000	1.1034620	1.2350670	-0.3698560
60.0000000	1.0915170	1.2608090	-0.3742610
61.0000000	1.0782280	1.2860440	-0.3785120
62.0000000	1.0636000	1.3107400	-0.3826080
63.0000000	1.0476430	1.3348670	-0.3865500
64.0000000	1.0303680	1.3583950	-0.3903380
65.0000000	1.0117880	1.3812940	-0.3939740
66.0000000	0.9919170	1.4035370	-0.3974580
67.0000000	0.9707730	1.4250960	-0.4007940
68.0000000	0.9483740	1.4459440	-0.4039830
69.0000000	0.9247430	1.4660560	-0.4070290
70.0000000	0.8999030	1.4854050	-0.4099340
71.0000000	0.8738790	1.5039700	-0.4127020
72.0000000	0.8466970	1.5217250	-0.4153370
73.0000000	0.8183890	1.5386510	-0.4178440
74.0000000	0.7889850	1.5547240	-0.4202260
75.0000000	0.7585180	1.5699260	-0.4224880
76.0000000	0.7270240	1.5842370	-0.4246360
77.0000000	0.6945390	1.5976410	-0.4266750
78.0000000	0.6611030	1.6101190	-0.4286090
79.0000000	0.6267560	1.6216570	-0.4304460
80.0000000	0.5915410	1.6322410	-0.4321890
81.0000000	0.5555020	1.6418560	-0.4338450
82.0000000	0.5186840	1.6504920	-0.4354200
83.0000000	0.4811350	1.6581370	-0.4369180
84.0000000	0.4429030	1.6647830	-0.4383470
85.0000000	0.4040390	1.6704200	-0.4397110
86.0000000	0.3645930	1.6750410	-0.4410160
87.0000000	0.3246200	1.6786420	-0.4422670
88.0000000	0.2841730	1.6812170	-0.4434700
89.0000000	0.2433060	1.6827630	-0.4446280
90.0000000	0.2020770	1.6832790	-0.4457480
91.0000000	0.1605410	1.6827630	-0.4468320
92.0000000	0.1187580	1.6812170	-0.4478860
93.0000000	0.0767850	1.6786420	-0.4489130
94.0000000	0.0346820	1.6750420	-0.4499150
95.0000000	-0.0074910	1.6704200	-0.4508960
96.0000000	-0.0496740	1.6647830	-0.4518590
97.0000000	-0.0918070	1.6581380	-0.4528040
98.0000000	-0.1338280	1.6504930	-0.4537340
